tag,engine,bcast,kernel,gridmap,plan,M,N,K,P,Pr,Pc,c,b,threads,lookahead,rep,time_s,gflops,wire_gb,rank_gb,t_comm,t_comp,err
b16,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,16,1,0,0,0.719935,1.258,0.000000,0.009437,0.564332,0.024451,-1.000e+00
b32,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,32,1,0,0,0.623482,1.453,0.000000,0.009437,0.482738,0.014524,-1.000e+00
b64,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,64,1,0,0,0.437461,2.071,0.000000,0.009437,0.301980,0.017796,-1.000e+00
b128,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.170812,5.304,0.000000,0.009437,0.086349,0.019835,-1.000e+00
b256,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,256,1,0,0,0.093287,9.712,0.000000,0.009437,0.052839,0.038331,-1.000e+00
b512,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,512,1,0,0,0.167226,5.418,0.000000,0.009437,0.073016,0.014709,-1.000e+00
b16,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,16,1,0,0,0.397612,2.279,0.000000,0.009437,0.368310,0.016912,-1.000e+00
b32,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,32,1,0,0,0.252839,3.583,0.000000,0.009437,0.174014,0.011028,-1.000e+00
b64,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,64,1,0,0,0.165113,5.487,0.000000,0.009437,0.143655,0.009063,-1.000e+00
b128,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.057608,15.726,0.000000,0.009437,0.046527,0.006317,-1.000e+00
b256,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,256,1,0,0,0.037591,24.101,0.000000,0.009437,0.025785,0.006633,-1.000e+00
b512,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,512,1,0,0,0.039940,22.683,0.000000,0.009437,0.016346,0.015696,-1.000e+00
b16,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,16,1,0,0,0.448762,2.019,0.000000,0.009437,0.427998,0.015259,-1.000e+00
b32,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,32,1,0,0,0.272390,3.326,0.000000,0.009437,0.191058,0.014668,-1.000e+00
b64,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,64,1,0,0,0.104606,8.661,0.000000,0.009437,0.092424,0.009523,-1.000e+00
b128,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.143721,6.304,0.000000,0.009437,0.108939,0.017257,-1.000e+00
b256,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,256,1,0,0,0.125485,7.220,0.000000,0.009437,0.076134,0.007024,-1.000e+00
b512,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,512,1,0,0,0.088354,10.254,0.000000,0.009437,0.008560,0.015540,-1.000e+00
b16,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,16,1,0,0,0.708062,1.280,0.000000,0.009437,0.649582,0.017689,-1.000e+00
b32,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,32,1,0,0,0.422658,2.144,0.000000,0.009437,0.321401,0.011329,-1.000e+00
b64,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,64,1,0,0,0.419999,2.157,0.000000,0.009437,0.302087,0.010276,-1.000e+00
b128,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.311368,2.910,0.000000,0.009437,0.190436,0.007930,-1.000e+00
b256,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,256,1,0,0,0.163996,5.524,0.000000,0.009437,0.065862,0.006996,-1.000e+00
b512,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,512,1,0,0,0.164012,5.524,0.000000,0.009437,0.035606,0.023424,-1.000e+00
b16,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,16,1,0,0,0.903928,1.002,0.000000,0.009437,0.859794,0.040074,-1.000e+00
b32,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,32,1,0,0,0.536527,1.689,0.000000,0.009437,0.476565,0.011254,-1.000e+00
b64,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,64,1,0,0,0.423999,2.137,0.000000,0.009437,0.261765,0.013695,-1.000e+00
b128,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.244036,3.712,0.000000,0.009437,0.112533,0.008318,-1.000e+00
b256,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,256,1,0,0,0.171891,5.271,0.000000,0.009437,0.058106,0.015589,-1.000e+00
b512,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,512,1,0,0,0.120333,7.529,0.000000,0.009437,0.041056,0.014940,-1.000e+00
b16,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,16,1,0,0,0.691812,1.310,0.000000,0.009437,0.593713,0.019562,-1.000e+00
b32,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,32,1,0,0,0.603924,1.500,0.000000,0.009437,0.470159,0.011597,-1.000e+00
b64,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,64,1,0,0,0.211937,4.275,0.000000,0.009437,0.172746,0.008020,-1.000e+00
b128,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.193216,4.689,0.000000,0.009437,0.110606,0.007161,-1.000e+00
b256,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,256,1,0,0,0.188693,4.801,0.000000,0.009437,0.137871,0.007481,-1.000e+00
b512,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,512,1,0,0,0.171996,5.267,0.000000,0.009437,0.076022,0.023912,-1.000e+00
b16,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,16,1,0,0,0.386839,2.342,0.000000,0.009437,0.366142,0.014397,-1.000e+00
b32,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,32,1,0,0,0.199948,4.531,0.000000,0.009437,0.182327,0.011216,-1.000e+00
b64,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,64,1,0,0,0.169160,5.356,0.000000,0.009437,0.152726,0.011469,-1.000e+00
b128,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.053743,16.858,0.000000,0.009437,0.042128,0.006676,-1.000e+00
b256,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,256,1,0,0,0.103955,8.715,0.000000,0.009437,0.084069,0.013625,-1.000e+00
b512,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,512,1,0,0,0.113974,7.949,0.000000,0.009437,0.038599,0.015310,-1.000e+00
b16,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,16,1,0,0,0.436021,2.078,0.000000,0.009437,0.350089,0.015365,-1.000e+00
b32,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,32,1,0,0,0.205686,4.405,0.000000,0.009437,0.181588,0.011605,-1.000e+00
b64,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,64,1,0,0,0.159936,5.665,0.000000,0.009437,0.136901,0.008746,-1.000e+00
b128,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.093563,9.683,0.000000,0.009437,0.077168,0.010917,-1.000e+00
b256,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,256,1,0,0,0.101845,8.896,0.000000,0.009437,0.018093,0.007064,-1.000e+00
b512,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,512,1,0,0,0.031429,28.826,0.000000,0.009437,0.020587,0.014829,-1.000e+00
b16,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,16,1,0,0,0.440536,2.057,0.000000,0.009437,0.417640,0.019534,-1.000e+00
b32,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,32,1,0,0,0.201080,4.506,0.000000,0.009437,0.182224,0.010623,-1.000e+00
b64,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,64,1,0,0,0.153166,5.915,0.000000,0.009437,0.076602,0.009142,-1.000e+00
b128,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.111935,8.094,0.000000,0.009437,0.033585,0.007502,-1.000e+00
b256,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,256,1,0,0,0.033507,27.038,0.000000,0.009437,0.020504,0.006757,-1.000e+00
b512,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,512,1,0,0,0.027040,33.505,0.000000,0.009437,0.012610,0.010285,-1.000e+00
b16,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,16,1,0,0,0.297563,3.045,0.000000,0.009437,0.268445,0.018360,-1.000e+00
b32,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,32,1,0,0,0.273242,3.316,0.000000,0.009437,0.173426,0.011694,-1.000e+00
b64,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,64,1,0,0,0.213055,4.252,0.000000,0.009437,0.139551,0.008386,-1.000e+00
b128,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.055974,16.185,0.000000,0.009437,0.039542,0.006369,-1.000e+00
b256,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,256,1,0,0,0.077541,11.684,0.000000,0.009437,0.033578,0.007358,-1.000e+00
b512,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,512,1,0,0,0.034806,26.029,0.000000,0.009437,0.015797,0.015286,-1.000e+00
