tag,engine,bcast,kernel,gridmap,plan,M,N,K,P,Pr,Pc,c,b,threads,lookahead,rep,time_s,gflops,wire_gb,rank_gb,t_comm,t_comp,err
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.136769,125.612,0.000000,0.067109,0.020951,0.120244,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,2,2,256,1,0,0,0.140808,122.009,0.067109,0.067109,0.025563,0.120069,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,1,4,256,1,0,0,0.248174,69.225,0.134218,0.100663,0.122134,0.133920,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.143063,120.086,0.000000,0.067109,0.023525,0.128313,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,2,2,256,1,0,0,0.145126,118.379,0.067109,0.067109,0.021345,0.121696,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,1,4,256,1,0,0,0.249035,68.986,0.134218,0.100663,0.120027,0.125863,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.137780,124.691,0.000000,0.067109,0.014188,0.123039,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,2,2,256,1,0,0,0.159058,108.010,0.067109,0.067109,0.027370,0.135010,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,1,4,256,1,0,0,0.247218,69.493,0.134218,0.100663,0.120573,0.123733,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.145983,117.684,0.000000,0.067109,0.020672,0.131294,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,2,2,256,1,0,0,0.145202,118.317,0.067109,0.067109,0.020663,0.121274,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,1,4,256,1,0,0,0.251175,68.398,0.134218,0.100663,0.122067,0.129251,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.137929,124.556,0.000000,0.067109,0.012071,0.122977,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,2,2,256,1,0,0,0.144893,118.569,0.067109,0.067109,0.022569,0.121462,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,1,4,256,1,0,0,0.203973,84.226,0.134218,0.100663,0.078474,0.139398,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.136643,125.728,0.000000,0.067109,0.013795,0.122190,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,2,2,256,1,0,0,0.149943,114.576,0.067109,0.067109,0.021611,0.128597,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,1,4,256,1,0,0,0.200953,85.492,0.134218,0.100663,0.075289,0.122291,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.132138,130.015,0.000000,0.067109,0.010344,0.118369,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,2,2,256,1,0,0,0.143043,120.103,0.067109,0.067109,0.021345,0.120583,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,1,4,256,1,0,0,0.219310,78.336,0.134218,0.100663,0.093707,0.121862,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.137630,124.827,0.000000,0.067109,0.018303,0.122215,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,2,2,256,1,0,0,0.151667,113.273,0.067109,0.067109,0.026010,0.129615,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,1,4,256,1,0,0,0.203259,84.522,0.134218,0.100663,0.074456,0.123559,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.131812,130.336,0.000000,0.067109,0.014638,0.118406,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,2,2,256,1,0,0,0.145049,118.442,0.067109,0.067109,0.020070,0.122814,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,1,4,256,1,0,0,0.199189,86.249,0.134218,0.100663,0.074741,0.129268,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.145582,118.008,0.000000,0.067109,0.028495,0.129106,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,2,2,256,1,0,0,0.141414,121.486,0.067109,0.067109,0.020498,0.120138,-1.000e+00
csweep,summa25d,blocking,packed,linear,0,2048,2048,2048,4,1,1,4,256,1,0,0,0.230537,74.521,0.134218,0.100663,0.107886,0.121315,-1.000e+00
