tag,engine,bcast,kernel,gridmap,plan,M,N,K,P,Pr,Pc,c,b,threads,lookahead,rep,time_s,gflops,wire_gb,rank_gb,t_comm,t_comp,err
engine_naive1d,naive1d,-,packed,-,0,768,768,768,4,4,1,1,0,1,0,0,0.036332,24.936,0,0,0,0,-1.000e+00
engine_summa,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.041236,21.970,0.000000,0.009437,0.027604,0.006855,-1.000e+00
engine_summa25d,summa25d,blocking,packed,linear,0,768,768,768,4,1,2,2,128,1,0,0,0.020518,44.154,0.009437,0.009437,0.012116,0.014574,-1.000e+00
engine_cannon,cannon,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.031935,28.369,0.000000,0.014156,0.016944,0.006146,-1.000e+00
engine_naive1d,naive1d,-,packed,-,0,768,768,768,4,4,1,1,0,1,0,0,0.036283,24.970,0,0,0,0,-1.000e+00
engine_summa,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.112053,8.085,0.000000,0.009437,0.033795,0.007272,-1.000e+00
engine_summa25d,summa25d,blocking,packed,linear,0,768,768,768,4,1,2,2,128,1,0,0,0.009809,92.359,0.009437,0.009437,0.002461,0.006992,-1.000e+00
engine_cannon,cannon,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.008133,111.401,0.000000,0.014156,0.002083,0.006283,-1.000e+00
engine_naive1d,naive1d,-,packed,-,0,768,768,768,4,4,1,1,0,1,0,0,0.014135,64.095,0,0,0,0,-1.000e+00
engine_summa,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.009085,99.723,0.000000,0.009437,0.002376,0.006788,-1.000e+00
engine_summa25d,summa25d,blocking,packed,linear,0,768,768,768,4,1,2,2,128,1,0,0,0.010299,87.964,0.009437,0.009437,0.003412,0.007323,-1.000e+00
engine_cannon,cannon,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.008207,110.386,0.000000,0.014156,0.001994,0.006620,-1.000e+00
engine_naive1d,naive1d,-,packed,-,0,768,768,768,4,4,1,1,0,1,0,0,0.013072,69.306,0,0,0,0,-1.000e+00
engine_summa,summa,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.007493,120.912,0.000000,0.009437,0.001194,0.006126,-1.000e+00
engine_summa25d,summa25d,blocking,packed,linear,0,768,768,768,4,1,2,2,128,1,0,0,0.009324,97.165,0.009437,0.009437,0.002634,0.006640,-1.000e+00
engine_cannon,cannon,blocking,packed,linear,0,768,768,768,4,2,2,1,128,1,0,0,0.012101,74.866,0.000000,0.014156,0.003918,0.010768,-1.000e+00
engine_naive1d,naive1d,-,packed,-,0,768,768,768,4,4,1,1,0,1,0,0,0.022357,40.523,0,0,0,0,-1.000e+00
