tag,engine,bcast,kernel,gridmap,plan,M,N,K,P,Pr,Pc,c,b,threads,lookahead,rep,time_s,gflops,wire_gb,rank_gb,t_comm,t_comp,err
hybrid_4x1,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.129065,133.110,0.000000,0.067109,0.016523,0.112804,-1.000e+00
hybrid_2x2,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,2,0,0,0.149116,115.212,0.000000,0.033554,0.020343,0.130213,-1.000e+00
hybrid_1x4,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,4,0,0,0.140943,121.893,0.000000,0.000000,0.000009,0.125771,-1.000e+00
hybrid_4x1,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.140707,122.097,0.000000,0.067109,0.024625,0.122294,-1.000e+00
hybrid_2x2,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,2,0,0,0.159050,108.015,0.000000,0.033554,0.021003,0.140975,-1.000e+00
hybrid_1x4,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,4,0,0,0.151354,113.508,0.000000,0.000000,0.000013,0.134623,-1.000e+00
hybrid_4x1,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.137453,124.988,0.000000,0.067109,0.018193,0.119655,-1.000e+00
hybrid_2x2,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,2,0,0,0.135598,126.698,0.000000,0.033554,0.014139,0.118549,-1.000e+00
hybrid_1x4,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,4,0,0,0.139578,123.084,0.000000,0.000000,0.000012,0.124885,-1.000e+00
hybrid_4x1,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.132421,129.737,0.000000,0.067109,0.014122,0.115711,-1.000e+00
hybrid_2x2,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,2,0,0,0.140077,122.646,0.000000,0.033554,0.015955,0.121856,-1.000e+00
hybrid_1x4,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,4,0,0,0.147947,116.122,0.000000,0.000000,0.000012,0.133197,-1.000e+00
hybrid_4x1,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.135664,126.635,0.000000,0.067109,0.020937,0.120681,-1.000e+00
hybrid_2x2,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,2,0,0,0.143526,119.699,0.000000,0.033554,0.016541,0.123277,-1.000e+00
hybrid_1x4,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,4,0,0,0.150338,114.275,0.000000,0.000000,0.000012,0.134626,-1.000e+00
hybrid_4x1,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.138255,124.262,0.000000,0.067109,0.021134,0.121644,-1.000e+00
hybrid_2x2,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,2,0,0,0.141169,121.697,0.000000,0.033554,0.017667,0.124595,-1.000e+00
hybrid_1x4,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,4,0,0,0.143610,119.629,0.000000,0.000000,0.000012,0.128321,-1.000e+00
hybrid_4x1,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.136896,125.496,0.000000,0.067109,0.025638,0.123474,-1.000e+00
hybrid_2x2,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,2,0,0,0.139850,122.845,0.000000,0.033554,0.013051,0.120416,-1.000e+00
hybrid_1x4,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,4,0,0,0.140174,122.561,0.000000,0.000000,0.000036,0.124934,-1.000e+00
hybrid_4x1,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.138306,124.217,0.000000,0.067109,0.015832,0.122766,-1.000e+00
hybrid_2x2,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,2,0,0,0.139209,123.410,0.000000,0.033554,0.009925,0.122735,-1.000e+00
hybrid_1x4,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,4,0,0,0.136829,125.557,0.000000,0.000000,0.000012,0.122451,-1.000e+00
hybrid_4x1,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.142708,120.384,0.000000,0.067109,0.017522,0.127206,-1.000e+00
hybrid_2x2,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,2,0,0,0.135006,127.253,0.000000,0.033554,0.009538,0.119048,-1.000e+00
hybrid_1x4,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,4,0,0,0.140743,122.066,0.000000,0.000000,0.000012,0.126027,-1.000e+00
hybrid_4x1,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.170561,100.725,0.000000,0.067109,0.043675,0.149475,-1.000e+00
hybrid_2x2,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,2,0,0,0.148810,115.448,0.000000,0.033554,0.017549,0.130835,-1.000e+00
hybrid_1x4,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,4,0,0,0.152845,112.401,0.000000,0.000000,0.000014,0.137443,-1.000e+00
