tag,engine,bcast,kernel,gridmap,plan,M,N,K,P,Pr,Pc,c,b,threads,lookahead,rep,time_s,gflops,wire_gb,rank_gb,t_comm,t_comp,err
kernel_naive_t1,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.069670,7.706,0.000000,0.000000,0.000001,0.067359,-1.000e+00
kernel_blocked_t1,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.051635,10.397,0.000000,0.000000,0.000001,0.049461,-1.000e+00
kernel_packed_t1,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.015925,33.712,0.000000,0.000000,0.000001,0.013921,-1.000e+00
kernel_naive_t4,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.075237,7.136,0.000000,0.000000,0.000001,0.072902,-1.000e+00
kernel_blocked_t4,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.055315,9.706,0.000000,0.000000,0.000001,0.053061,-1.000e+00
kernel_packed_t4,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.016348,32.841,0.000000,0.000000,0.000000,0.014264,-1.000e+00
kernel_naive_t1,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.066816,8.035,0.000000,0.000000,0.000001,0.064557,-1.000e+00
kernel_blocked_t1,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.051126,10.501,0.000000,0.000000,0.000001,0.049156,-1.000e+00
kernel_packed_t1,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.015625,34.359,0.000000,0.000000,0.000001,0.013712,-1.000e+00
kernel_naive_t4,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.063855,8.408,0.000000,0.000000,0.000001,0.061645,-1.000e+00
kernel_blocked_t4,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.052222,10.281,0.000000,0.000000,0.000001,0.050183,-1.000e+00
kernel_packed_t4,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.017194,31.224,0.000000,0.000000,0.000001,0.015052,-1.000e+00
kernel_naive_t1,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.068062,7.888,0.000000,0.000000,0.000001,0.065764,-1.000e+00
kernel_blocked_t1,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.050535,10.624,0.000000,0.000000,0.000001,0.048516,-1.000e+00
kernel_packed_t1,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.016431,32.675,0.000000,0.000000,0.000001,0.014224,-1.000e+00
kernel_naive_t4,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.068289,7.862,0.000000,0.000000,0.000001,0.065872,-1.000e+00
kernel_blocked_t4,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.055478,9.677,0.000000,0.000000,0.000001,0.053344,-1.000e+00
kernel_packed_t4,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.019245,27.896,0.000000,0.000000,0.000001,0.016984,-1.000e+00
kernel_naive_t1,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.068029,7.892,0.000000,0.000000,0.000001,0.065781,-1.000e+00
kernel_blocked_t1,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.058246,9.217,0.000000,0.000000,0.000001,0.055929,-1.000e+00
kernel_packed_t1,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.021044,25.512,0.000000,0.000000,0.000001,0.017869,-1.000e+00
kernel_naive_t4,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.073682,7.286,0.000000,0.000000,0.000002,0.071148,-1.000e+00
kernel_blocked_t4,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.056590,9.487,0.000000,0.000000,0.000001,0.054241,-1.000e+00
kernel_packed_t4,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.017246,31.131,0.000000,0.000000,0.000001,0.014820,-1.000e+00
kernel_naive_t1,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.070730,7.590,0.000000,0.000000,0.000001,0.068411,-1.000e+00
kernel_blocked_t1,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.053468,10.041,0.000000,0.000000,0.000001,0.051131,-1.000e+00
kernel_packed_t1,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.023938,22.427,0.000000,0.000000,0.000001,0.021282,-1.000e+00
kernel_naive_t4,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.069294,7.748,0.000000,0.000000,0.000001,0.066935,-1.000e+00
kernel_blocked_t4,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.057819,9.285,0.000000,0.000000,0.000001,0.055348,-1.000e+00
kernel_packed_t4,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.018676,28.747,0.000000,0.000000,0.000001,0.016177,-1.000e+00
kernel_naive_t1,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.070879,7.574,0.000000,0.000000,0.000001,0.068504,-1.000e+00
kernel_blocked_t1,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.055260,9.715,0.000000,0.000000,0.000001,0.053100,-1.000e+00
kernel_packed_t1,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.016158,33.225,0.000000,0.000000,0.000001,0.014125,-1.000e+00
kernel_naive_t4,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.069789,7.693,0.000000,0.000000,0.000001,0.067227,-1.000e+00
kernel_blocked_t4,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.055210,9.724,0.000000,0.000000,0.000001,0.052997,-1.000e+00
kernel_packed_t4,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.018069,29.712,0.000000,0.000000,0.000001,0.015690,-1.000e+00
kernel_naive_t1,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.071514,7.507,0.000000,0.000000,0.000001,0.069262,-1.000e+00
kernel_blocked_t1,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.056387,9.521,0.000000,0.000000,0.000001,0.053980,-1.000e+00
kernel_packed_t1,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.016849,31.863,0.000000,0.000000,0.000001,0.014676,-1.000e+00
kernel_naive_t4,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.072703,7.384,0.000000,0.000000,0.000001,0.070194,-1.000e+00
kernel_blocked_t4,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.061793,8.688,0.000000,0.000000,0.000001,0.059214,-1.000e+00
kernel_packed_t4,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.018912,28.388,0.000000,0.000000,0.000001,0.016438,-1.000e+00
kernel_naive_t1,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.078347,6.852,0.000000,0.000000,0.000002,0.075801,-1.000e+00
kernel_blocked_t1,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.054427,9.864,0.000000,0.000000,0.000005,0.051819,-1.000e+00
kernel_packed_t1,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.016840,31.881,0.000000,0.000000,0.000001,0.014494,-1.000e+00
kernel_naive_t4,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.067928,7.904,0.000000,0.000000,0.000001,0.065599,-1.000e+00
kernel_blocked_t4,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.057437,9.347,0.000000,0.000000,0.000001,0.054911,-1.000e+00
kernel_packed_t4,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.016383,32.771,0.000000,0.000000,0.000001,0.014353,-1.000e+00
kernel_naive_t1,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.070966,7.565,0.000000,0.000000,0.000001,0.068723,-1.000e+00
kernel_blocked_t1,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.056522,9.498,0.000000,0.000000,0.000001,0.054145,-1.000e+00
kernel_packed_t1,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.016819,31.920,0.000000,0.000000,0.000001,0.014474,-1.000e+00
kernel_naive_t4,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.070503,7.615,0.000000,0.000000,0.000001,0.068117,-1.000e+00
kernel_blocked_t4,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.051337,10.458,0.000000,0.000000,0.000001,0.049069,-1.000e+00
kernel_packed_t4,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.017166,31.276,0.000000,0.000000,0.000001,0.015007,-1.000e+00
kernel_naive_t1,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.076285,7.038,0.000000,0.000000,0.000001,0.073961,-1.000e+00
kernel_blocked_t1,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.058468,9.182,0.000000,0.000000,0.000002,0.055959,-1.000e+00
kernel_packed_t1,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,1,0,0,0.015754,34.079,0.000000,0.000000,0.000001,0.013801,-1.000e+00
kernel_naive_t4,summa,blocking,naive,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.066462,8.078,0.000000,0.000000,0.000001,0.064286,-1.000e+00
kernel_blocked_t4,summa,blocking,blocked,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.054461,9.858,0.000000,0.000000,0.000001,0.052515,-1.000e+00
kernel_packed_t4,summa,blocking,packed,linear,0,1024,1024,256,1,1,1,1,256,4,0,0,0.016392,32.752,0.000000,0.000000,0.000001,0.014244,-1.000e+00
