## P=64 shape=square  M=8192 N=8192 K=8192
# plan report for M=8192 N=8192 K=8192 P=64
#   Pr   Pc    c     b    t_model[s]    t_comm[s]    t_comp[s]
     4    4    4  1024      3.446060     0.010086     3.435974
     4    4    4   512      3.446076     0.010102     3.435974
     4    4    4   256      3.446108     0.010134     3.435974
     4    4    4   128      3.446172     0.010198     3.435974
     4    4    4    64      3.446300     0.010326     3.435974
## P=64 shape=tall_skinny  M=16384 N=16384 K=512
# plan report for M=16384 N=16384 K=512 P=64
#   Pr   Pc    c     b    t_model[s]    t_comm[s]    t_comp[s]
     8    8    1   512      0.864039     0.005045     0.858993
     8    8    1   256      0.864051     0.005057     0.858993
     8    8    1   128      0.864075     0.005081     0.858993
     8    8    1    64      0.864123     0.005129     0.858993
     8    8    1    32      0.864219     0.005225     0.858993
## P=64 shape=short_fat  M=1024 N=1024 K=262144
# plan report for M=1024 N=1024 K=262144 P=64
#   Pr   Pc    c     b    t_model[s]    t_comm[s]    t_comp[s]
     1    1   64    32      1.725549     0.007562     1.717987
     1    1   64    64      1.725549     0.007562     1.717987
     1    1   64   128      1.725549     0.007562     1.717987
     1    1   64   256      1.725549     0.007562     1.717987
     1    1   64   512      1.725549     0.007562     1.717987
## P=64 shape=tall_A  M=32768 N=1024 K=2048
# plan report for M=32768 N=1024 K=2048 P=64
#   Pr   Pc    c     b    t_model[s]    t_comm[s]    t_comp[s]
    32    1    2  1024      0.432025     0.002529     0.429497
    32    1    2   512      0.432035     0.002539     0.429497
    32    1    2   256      0.432055     0.002559     0.429497
    32    1    2   128      0.432095     0.002599     0.429497
    32    1    2    64      0.432175     0.002679     0.429497
## P=64 shape=wide_B  M=1024 N=32768 K=2048
# plan report for M=1024 N=32768 K=2048 P=64
#   Pr   Pc    c     b    t_model[s]    t_comm[s]    t_comp[s]
     1   32    2  1024      0.432025     0.002529     0.429497
     1   32    2   512      0.432035     0.002539     0.429497
     1   32    2   256      0.432055     0.002559     0.429497
     1   32    2   128      0.432095     0.002599     0.429497
     1   32    2    64      0.432175     0.002679     0.429497
## P=128 shape=square  M=8192 N=8192 K=8192
# plan report for M=8192 N=8192 K=8192 P=128
#   Pr   Pc    c     b    t_model[s]    t_comm[s]    t_comp[s]
     4    4    8  1024      1.724712     0.006725     1.717987
     4    4    8   512      1.724720     0.006733     1.717987
     4    8    4  1024      1.724722     0.006735     1.717987
     8    4    4  1024      1.724722     0.006735     1.717987
     4    4    8   256      1.724736     0.006749     1.717987
## P=128 shape=tall_skinny  M=16384 N=16384 K=512
