tag,engine,bcast,kernel,gridmap,plan,M,N,K,P,Pr,Pc,c,b,threads,lookahead,rep,time_s,gflops,wire_gb,rank_gb,t_comm,t_comp,err
fixed_square,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.144542,118.857,0.000000,0.067109,0.028749,0.127113,-1.000e+00
plan_square,summa25d,blocking,packed,linear,1,2048,2048,2048,4,1,2,2,1024,1,0,0,0.146272,117.452,0.067109,0.067109,0.022129,0.125131,-1.000e+00
fixed_tall_skinny,summa25d,blocking,packed,linear,0,4096,4096,256,4,2,2,1,256,1,0,0,0.074600,115.147,0.000000,0.016777,0.005773,0.069043,-1.000e+00
plan_tall_skinny,summa25d,blocking,packed,linear,1,4096,4096,256,4,2,2,1,256,1,0,0,0.101598,84.549,0.000000,0.016777,0.017349,0.096384,-1.000e+00
fixed_short_fat,summa25d,blocking,packed,linear,0,512,512,32768,4,2,2,1,256,1,0,0,0.253084,67.882,0.000000,0.268435,0.070932,0.183543,-1.000e+00
plan_short_fat,summa25d,blocking,packed,linear,1,512,512,32768,4,1,1,4,32,1,0,0,0.167192,102.756,0.008389,0.006291,0.005375,0.153179,-1.000e+00
fixed_tall_A,summa25d,blocking,packed,linear,0,8192,512,1024,4,2,2,1,256,1,0,0,0.078987,108.751,0.000000,0.071303,0.018754,0.057516,-1.000e+00
plan_tall_A,summa25d,blocking,packed,linear,1,8192,512,1024,4,4,1,1,1024,1,0,0,0.071651,119.886,0.000000,0.012583,0.007989,0.060806,-1.000e+00
fixed_wide_B,summa25d,blocking,packed,linear,0,512,8192,1024,4,2,2,1,256,1,0,0,0.088591,96.962,0.000000,0.071303,0.018093,0.067901,-1.000e+00
plan_wide_B,summa25d,blocking,packed,linear,1,512,8192,1024,4,1,4,1,1024,1,0,0,0.068391,125.601,0.000000,0.012583,0.003573,0.061316,-1.000e+00
fixed_square,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.129661,132.499,0.000000,0.067109,0.010603,0.116289,-1.000e+00
plan_square,summa25d,blocking,packed,linear,1,2048,2048,2048,4,1,2,2,1024,1,0,0,0.172997,99.307,0.067109,0.067109,0.046277,0.155383,-1.000e+00
fixed_tall_skinny,summa25d,blocking,packed,linear,0,4096,4096,256,4,2,2,1,256,1,0,0,0.081188,105.804,0.000000,0.016777,0.005355,0.076362,-1.000e+00
plan_tall_skinny,summa25d,blocking,packed,linear,1,4096,4096,256,4,2,2,1,256,1,0,0,0.076609,112.127,0.000000,0.016777,0.004417,0.071209,-1.000e+00
fixed_short_fat,summa25d,blocking,packed,linear,0,512,512,32768,4,2,2,1,256,1,0,0,0.201130,85.417,0.000000,0.268435,0.039287,0.158277,-1.000e+00
plan_short_fat,summa25d,blocking,packed,linear,1,512,512,32768,4,1,1,4,32,1,0,0,0.162355,105.816,0.008389,0.006291,0.005477,0.149791,-1.000e+00
fixed_tall_A,summa25d,blocking,packed,linear,0,8192,512,1024,4,2,2,1,256,1,0,0,0.078024,110.094,0.000000,0.071303,0.017621,0.059342,-1.000e+00
plan_tall_A,summa25d,blocking,packed,linear,1,8192,512,1024,4,4,1,1,1024,1,0,0,0.069627,123.370,0.000000,0.012583,0.005099,0.060982,-1.000e+00
