tag,engine,bcast,kernel,gridmap,plan,M,N,K,P,Pr,Pc,c,b,threads,lookahead,rep,time_s,gflops,wire_gb,rank_gb,t_comm,t_comp,err
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,1,0,0,0.514522,33.390,0.000000,0.000000,0.000017,0.498672,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,1,0,0,0.246317,69.747,0.000000,0.033554,0.012685,0.228733,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.133231,128.948,0.000000,0.067109,0.014700,0.119984,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,1,0,0,0.471168,36.462,0.000000,0.000000,0.000019,0.457037,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,1,0,0,0.252075,68.154,0.000000,0.033554,0.010583,0.234488,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.142942,120.188,0.000000,0.067109,0.015687,0.125412,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,1,0,0,0.499503,34.394,0.000000,0.000000,0.000017,0.483350,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,1,0,0,0.261343,65.737,0.000000,0.033554,0.019870,0.244791,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.138088,124.413,0.000000,0.067109,0.012542,0.122915,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,1,0,0,0.494330,34.754,0.000000,0.000000,0.000017,0.479521,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,1,0,0,0.253192,67.853,0.000000,0.033554,0.011416,0.235810,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.134849,127.401,0.000000,0.067109,0.012383,0.120611,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,1,0,0,0.486952,35.280,0.000000,0.000000,0.000018,0.472703,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,1,0,0,0.255470,67.248,0.000000,0.033554,0.015190,0.240069,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.143749,119.513,0.000000,0.067109,0.019157,0.127810,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,1,0,0,0.491418,34.960,0.000000,0.000000,0.000016,0.476989,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,1,0,0,0.259400,66.229,0.000000,0.033554,0.015058,0.242251,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.137426,125.012,0.000000,0.067109,0.013595,0.121359,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,1,0,0,0.482506,35.606,0.000000,0.000000,0.000020,0.467308,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,1,0,0,0.254104,67.609,0.000000,0.033554,0.015359,0.238124,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.138746,123.822,0.000000,0.067109,0.014622,0.123057,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,1,0,0,0.471524,36.435,0.000000,0.000000,0.000016,0.457651,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,1,0,0,0.250127,68.685,0.000000,0.033554,0.010499,0.232599,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.133450,128.736,0.000000,0.067109,0.013227,0.119321,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,1,0,0,0.474347,36.218,0.000000,0.000000,0.000015,0.460425,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,1,0,0,0.254579,67.483,0.000000,0.033554,0.016803,0.238622,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.140431,122.337,0.000000,0.067109,0.016300,0.124177,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,1,1,1,1,256,1,0,0,0.504891,34.027,0.000000,0.000000,0.000017,0.490137,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,2,1,2,1,256,1,0,0,0.259594,66.180,0.000000,0.033554,0.022881,0.241467,-1.000e+00
strong_local,summa,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.136891,125.500,0.000000,0.067109,0.025705,0.122334,-1.000e+00
